ਮਾ,(maa): Mother,ਮ: m (as in man) | ਾ: aa (vowel matra)
ਪਿਤਾ,(pitaa): Father,ਪ: p (as in pen) | ਿ: i (vowel matra before consonant) | ਤ: t (as in tap) | ਾ: aa (vowel matra)
ਘਰ,(ghar): Home,ਘ: gh (aspirated g) | ਰ: r (as in run)
ਰੋਟੀ,(roti): Bread,ਰ: r (as in run) | ੋ: o (vowel matra) | ਟ: ṭ (retroflex t) | ੀ: ee (vowel matra)
ਪਾਣੀ,(paani): Water,ਪ: p (as in pen) | ਾ: aa (vowel matra) | ਣ: ṇ (retroflex n) | ੀ: ee (vowel matra)
ਦਿਲ,(dil): Heart,ਦ: d (as in dog) | ਿ: i (vowel matra before consonant) | ਲ: l (as in love)
ਬਚਾ,(bachaa): Child,ਬ: b (as in bat) | ਚ: ch (as in chair) | ਾ: aa (vowel matra)
ਰਾਤ,(raat): Night,ਰ: r (as in run) | ਾ: aa (vowel matra) | ਤ: t (as in tap)
ਦਿਨ,(din): Day,ਦ: d (as in dog) | ਿ: i (vowel matra before consonant) | ਨ: n (as in net)
ਕੰਨ,(kann): Ear,ਕ: k (as in kite) | ੰ: unknown | ਨ: n (as in net)
ਸੂਰਜ,(sooraj): Sun,ਸ: s (as in sun) | ੂ: oo (vowel matra) | ਰ: r (as in run) | ਜ: j (as in jam)
ਚੰਦ,(chand): Moon,ਚ: ch (as in chair) | ੰ: unknown | ਦ: d (as in dog)
ਤਾਰਾ,(taaraa): Star,ਤ: t (as in tap) | ਾ: aa (vowel matra) | ਰ: r (as in run) | ਾ: aa (vowel matra)
ਫਲ,(phal): Fruit,ਫ: ph (as in photo) | ਲ: l (as in love)
ਦੂਧ,(doodh): Milk,ਦ: d (as in dog) | ੂ: oo (vowel matra) | ਧ: dh (aspirated d)
ਕਿੱਤਾ,(kittaa): Puppy,ਕ: k (as in kite) | ਿ: i (vowel matra before consonant) | ੱ: unknown | ਤ: t (as in tap) | ਾ: aa (vowel matra)
ਬਿੱਲੀ,(billee): Cat,ਬ: b (as in bat) | ਿ: i (vowel matra before consonant) | ੱ: unknown | ਲ: l (as in love) | ੀ: ee (vowel matra)
ਕੁੱਤਾ,(kuttaa): Dog,ਕ: k (as in kite) | ੁ: u (vowel matra before consonant) | ੱ: unknown | ਤ: t (as in tap) | ਾ: aa (vowel matra)
ਮਿੱਟੀ,(mittee): Soil,ਮ: m (as in man) | ਿ: i (vowel matra before consonant) | ੱ: unknown | ਟ: ṭ (retroflex t) | ੀ: ee (vowel matra)
ਹਵਾ,(havaa): Air,ਹ: h (as in hat) | ਵ: v/w (as in van) | ਾ: aa (vowel matra)
